Place,Dish Name,Estimated_Price_INR,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
Generic/Average Restaurant,Deviled egg,300,98.56,4.97,2.23,7.72
Generic/Average Restaurant,Hawain salad,40,175.23,4.27,14.35,11.37
Generic/Average Restaurant,Mixed pulse and vegetable salad,40,83.12,4.74,13.96,0.84
Generic/Average Restaurant,Sprouted moong salad ,40,37.81,2.29,5.48,0.74
Generic/Average Restaurant,Tossed salad,40,62.96,1.02,4.95,4.22
Generic/Average Restaurant,Mixed vegetable salad with curd sauce,40,60.28,4.23,7.03,1.5
Generic/Average Restaurant,Potato salad (Aloo ka salaad),40,89.91,1.4,11.19,4.4
Generic/Average Restaurant,Waldroff salad,40,141.75,1.47,11.02,10.05
Generic/Average Restaurant,Coleslaw,120,76.71,1.24,5.59,5.32
Generic/Average Restaurant,Fruit salad (Phalon ka salaad),40,78.14,0.91,15.96,1.22
Generic/Average Restaurant,Tomato onion raita (Tamatar aur pyaaz ka raita),40,59.0,3.74,7.08,1.84
Generic/Average Restaurant,Peanut raita (Mungfali ka raita),40,150.39,8.59,9.3,8.98
Generic/Average Restaurant,Sprouted moong raita ,40,60.89,4.62,6.13,2.19
Generic/Average Restaurant,Bottle gourd raita (Ghiya/Lauki ka raita),40,56.31,3.98,5.76,2.07
Generic/Average Restaurant,Cucumber raita (Kheere ka raita),40,59.13,4.04,6.35,2.08
Generic/Average Restaurant,Carrot and spinach raita (Gajar aur palak ka raita),40,56.83,4.0,5.83,1.99
Generic/Average Restaurant,Mint raita (Pudinay ka raita),40,77.59,5.64,7.65,2.96
Generic/Average Restaurant,Potato raita (Aloo ka raita),40,75.38,4.22,10.24,2.04
Generic/Average Restaurant,Boondi raita,40,687.72,2.19,3.96,73.83
Generic/Average Restaurant,Sweet raita (Meetha raita),40,99.24,3.24,17.93,1.78
Generic/Average Restaurant,Dahi vadas/Dahi bhalla,50,667.73,2.96,5.49,70.4
Generic/Average Restaurant,Gunjia,120,667.34,2.98,5.68,70.28
Generic/Average Restaurant,Saunth/Sonth chutney with tamarind/imli,40,141.53,1.01,33.55,0.15
Generic/Average Restaurant,Rice kheer (Chawal ki kheer),150,75.03,2.3,10.05,2.97
Generic/Average Restaurant,Makhana kheer,80,107.85,3.31,12.88,5.0
Generic/Average Restaurant,Vermicelli kheer (Semiya/Seviyan ki kheer),80,120.07,3.35,15.87,5.0
Generic/Average Restaurant,Semolina kheer (Suji/Rava kheer),80,113.21,3.43,15.88,4.2
Generic/Average Restaurant,Paneer kheer,180,105.31,4.53,10.03,5.37
Generic/Average Restaurant,Cabbage kheer (Pattagobhi ki kheer),80,83.51,2.87,9.73,3.8
Generic/Average Restaurant,Carrot kheer (Gajar ki kheer),80,85.35,2.81,10.09,3.85
Generic/Average Restaurant,Cauliflower kheer (Phoolgobhi ki kheer),80,81.95,3.04,8.78,3.95
Generic/Average Restaurant,Moong dal kheer,180,77.16,2.95,9.89,2.97
Generic/Average Restaurant,Phirni,120,116.12,3.49,16.11,4.34
Generic/Average Restaurant,Semolina halwa (Suji ka halwa),80,225.65,2.16,24.67,13.38
Generic/Average Restaurant,Shahi suji halwa,80,382.34,3.48,44.44,21.73
Generic/Average Restaurant,Carrot halwa (Gajar ka halwa),80,172.64,3.11,18.53,9.73
Generic/Average Restaurant,Egg halwa (Ande ka halwa),300,299.74,7.85,39.59,13.41
Generic/Average Restaurant,Potato halwa (Aloo ka halwa),180,151.66,1.53,29.18,3.48
Generic/Average Restaurant,Pumpkin halwa (Kaddu ka halwa),80,190.27,1.33,27.6,8.81
Generic/Average Restaurant,Moong dal halwa,180,349.8,8.35,40.23,17.68
Generic/Average Restaurant,Caramel custard (steamed),30,121.58,4.97,15.02,4.87
Generic/Average Restaurant,Baked custard,120,106.53,5.41,9.45,5.3
Generic/Average Restaurant,Soft Custard (stirred),120,109.18,5.01,11.19,5.07
Generic/Average Restaurant,Chocolate ice cream,80,177.7,4.47,15.41,11.25
Generic/Average Restaurant,Mango ice cream,80,125.69,3.4,11.14,7.62
Generic/Average Restaurant,Fruit Ice cream (Phalon ka Ice cream),80,171.46,4.37,16.05,10.38
Generic/Average Restaurant,Caramel ice cream,80,173.52,4.31,14.81,11.15
Generic/Average Restaurant,Lemon souffle,120,168.51,6.95,13.43,10.02
Generic/Average Restaurant,Orange souffle,120,168.28,6.8,14.2,9.73
Generic/Average Restaurant,Vanilla souffle,120,187.85,7.71,14.78,11.19
Generic/Average Restaurant,Chocolate souffle,120,189.32,7.88,14.74,11.36
Generic/Average Restaurant,Pineapple souffle ,120,196.14,8.06,15.52,11.72
Generic/Average Restaurant,Apple mousse,120,106.92,4.21,12.77,4.27
Generic/Average Restaurant,Rich chocolate mousse,120,188.26,7.96,10.84,12.19
Generic/Average Restaurant,Mango mousse,120,124.98,3.21,9.14,8.47
Generic/Average Restaurant,Orange and pineapple cream,120,101.18,1.44,11.96,5.43
Generic/Average Restaurant,Charlotte rousse,120,188.29,3.95,34.08,4.78
Generic/Average Restaurant,Triffle pudding,120,116.97,2.93,18.24,3.93
Generic/Average Restaurant,Snow flakes pudding,120,95.21,4.67,8.07,4.97
Generic/Average Restaurant,Kulfi,120,98.43,3.21,11.3,4.7
Generic/Average Restaurant,Steamed orange pudding,30,278.03,2.34,41.53,12.04
Generic/Average Restaurant,Meringue and rice pudding,150,112.93,4.84,14.6,4.05
Generic/Average Restaurant,Cheese pudding,120,285.01,11.29,19.27,18.37
Generic/Average Restaurant,Chocolate pudding,120,211.96,3.55,29.59,9.48
Generic/Average Restaurant,Bread and butter pudding ,30,167.94,5.59,19.63,7.88
Generic/Average Restaurant,Queen of pudding,120,132.92,5.51,16.35,5.38
Generic/Average Restaurant,Pineapple upside down pudding,120,257.73,3.15,35.73,11.91
Generic/Average Restaurant,Date and nut pie,120,322.42,3.93,46.86,13.31
Generic/Average Restaurant,Stewed apple with custard,120,92.87,1.27,18.36,1.82
Generic/Average Restaurant,Apple snowballs,120,101.51,0.86,24.58,0.31
Generic/Average Restaurant,Hot orange souffle,120,179.97,6.87,18.77,8.95
Generic/Average Restaurant,Hot chocolate souffle,120,226.09,6.7,26.21,11.1
Generic/Average Restaurant,Hot vanilla souffle,120,192.93,6.87,21.77,9.07
Generic/Average Restaurant,Plain burfi (Burfi),120,408.32,9.82,30.88,27.96
Generic/Average Restaurant,Coconut burfi (Nariyal ki burfi),120,467.64,8.81,32.15,34.63
Generic/Average Restaurant,Bottle gourd burfi (Ghiya/Lauki burfi),120,275.96,5.86,24.51,17.68
Generic/Average Restaurant,Chocolate burfi,120,339.33,13.0,33.15,17.86
Generic/Average Restaurant,Cashewnut burfi (Kaju burfi/Kaju katli),120,421.74,5.48,37.92,28.46
Generic/Average Restaurant,Gram flour burfi (Besan burfi),120,421.79,11.19,46.59,22.41
Generic/Average Restaurant,Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),120,428.71,6.71,52.86,21.86
Generic/Average Restaurant,Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),120,464.43,5.68,50.9,27.03
Generic/Average Restaurant,Gram flour ladoo (Besan ladoo),120,476.91,8.93,62.61,22.76
Generic/Average Restaurant,Sesame ladoo (Til ke ladoo),120,396.96,10.7,43.5,19.64
Generic/Average Restaurant,Chenna murki,120,252.69,10.46,36.01,8.2
Generic/Average Restaurant,Milk cake,30,127.41,3.01,9.13,8.93
Generic/Average Restaurant,Ghujia/Lavang latika,120,768.98,1.86,13.0,78.93
Generic/Average Restaurant,Gulab Jamun with khoya,80,586.06,2.03,26.09,53.23
Generic/Average Restaurant,Mal pua,120,566.68,1.71,17.56,54.64
Generic/Average Restaurant,Shahi tukre,120,189.81,2.76,41.46,2.54
Generic/Average Restaurant,Potato pakora/pakoda (Aloo pakoda),50,677.19,1.9,6.04,71.84
Generic/Average Restaurant,Onion pakora/pakoda (Pyaaz ke pakode),50,674.61,1.9,5.41,71.84
Generic/Average Restaurant,Cauliflower pakora/pakoda (Phoolgobhi ke pakode),50,671.63,1.98,4.52,71.86
Generic/Average Restaurant,Mixed vegetable pakora/pakoda,50,673.81,1.94,5.12,71.86
Generic/Average Restaurant,Spinach pakora/pakoda (Palak pakoda),50,712.62,1.96,4.68,76.38
Generic/Average Restaurant,Methi pakora/pakoda (Methi ke pakode),50,713.25,2.06,4.68,76.39
Generic/Average Restaurant,Egg pakora/pakoda (Ande ke pakode),50,710.51,2.83,4.48,75.86
Generic/Average Restaurant,Bread pakora/pakoda,50,710.99,2.57,8.87,74.2
Generic/Average Restaurant,Paneer pakora/pakoda,50,718.12,3.27,5.52,76.05
Generic/Average Restaurant,Potato bonda (Aloo bonda),180,632.84,1.09,4.53,67.8
Generic/Average Restaurant,Potato samosa (Aloo ka samosa),50,577.39,1.71,9.21,59.19
Generic/Average Restaurant,Minced meat samosa (Keema ka samosa),50,620.99,4.43,6.14,64.26
Generic/Average Restaurant,Paneer and pea samosa (Paneer matar ka samosa),50,623.81,4.02,8.55,63.65
Generic/Average Restaurant,Mathri,120,805.12,1.75,12.32,83.1
Generic/Average Restaurant,Khasta kachori,50,712.73,2.51,12.81,72.27
Generic/Average Restaurant,Vegetable cutlet,50,665.45,1.25,4.68,71.33
Generic/Average Restaurant,Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),50,701.71,1.76,7.39,73.89
Generic/Average Restaurant,Peanut cutlet (Mungfali ke cutlet),50,698.77,2.63,5.68,74.0
Generic/Average Restaurant,Fish cutlet (Machli ka cutlet),50,654.64,2.77,3.13,70.11
Generic/Average Restaurant,Paneer potato cutlet (Paneer aloo cutlet),50,672.94,2.47,5.23,71.4
Generic/Average Restaurant,Spinach chickpeas cutlet (Palak channa dal cutlet),50,688.03,1.44,4.93,73.6
Generic/Average Restaurant,Cheese toast,120,785.37,1.98,5.49,84.11
Generic/Average Restaurant,Vegetable burger,120,519.93,3.26,13.69,50.63
Generic/Average Restaurant,Cheese pizza,300,249.5,5.79,30.62,12.43
Generic/Average Restaurant,Vegetable seekh kebab,300,690.73,1.57,5.32,73.72
Generic/Average Restaurant,Masala vada,40,826.02,1.69,4.06,89.15
Generic/Average Restaurant,Peanut sago vada (Sabudana mungfali vada),50,749.89,1.01,7.14,79.82
Generic/Average Restaurant,Vegeterian scotch egg,300,681.67,2.16,4.64,72.77
Generic/Average Restaurant,Paneer shaslik/tikka,180,93.85,5.11,7.98,4.49
Generic/Average Restaurant,Peanut brittle (Moongfali ki chikki),120,320.46,6.94,47.46,11.13
Generic/Average Restaurant,Spring roll,50,623.87,1.81,8.56,64.63
Generic/Average Restaurant,Dry mango chutney (Sookhe aam ki chutney),40,298.13,2.43,69.17,0.7
Generic/Average Restaurant,Peanut chutney (Mungfali ki chutney),40,258.37,11.8,9.87,19.06
Generic/Average Restaurant,Coconut chutney (Nariyal ki chutney),40,265.92,3.59,8.29,25.0
Generic/Average Restaurant,Mint and coriander chutney (Pudinay aur dhaniye ki chutney),40,102.6,2.81,21.18,0.51
Generic/Average Restaurant,Custard tart,120,225.6,3.72,28.66,10.73
Generic/Average Restaurant,Lemon tart,120,303.35,6.12,30.68,17.45
Generic/Average Restaurant,Jam tart,120,360.72,4.42,46.18,17.35
Generic/Average Restaurant,Orange cream tart,120,197.16,2.58,27.43,8.72
Generic/Average Restaurant,Pineapple tart,120,195.4,2.29,28.62,8.21
Generic/Average Restaurant,Cheese and mushroom tart,180,246.1,5.51,21.43,15.28
Generic/Average Restaurant,Cottage cheese pie,120,238.98,7.45,20.66,13.83
Generic/Average Restaurant,Minced meat pie,120,221.55,7.38,18.11,13.04
Generic/Average Restaurant,Apple cinnamon pie,120,258.73,3.35,33.68,12.21
Generic/Average Restaurant,Lemon meringue pie,120,224.43,3.88,35.11,8.16
Generic/Average Restaurant,Chocolate meringue pie,120,214.76,4.98,28.8,9.17
Generic/Average Restaurant,Cream puffs,120,221.33,4.7,16.0,15.48
Generic/Average Restaurant,Chocolate eclairs,120,239.42,4.24,26.22,13.5
Generic/Average Restaurant,Cheese balls,120,681.28,2.21,4.81,72.57
Generic/Average Restaurant,Minced meat patties,120,265.72,6.88,15.25,19.57
Generic/Average Restaurant,Cheese patties,120,324.01,7.38,22.23,22.67
Generic/Average Restaurant,Hot cheese souffle,120,177.1,9.18,5.41,13.23
Generic/Average Restaurant,Hot potato souffle,120,125.64,5.51,8.56,7.64
Generic/Average Restaurant,Hot fish souffle,300,142.92,11.23,3.69,9.24
Generic/Average Restaurant,Hot spinach souffle,120,104.25,5.43,4.19,7.24
Generic/Average Restaurant,Plain cream cake,80,353.94,6.18,47.18,16.17
Generic/Average Restaurant,Apple cake (Seb ka cake),80,290.08,4.94,39.48,12.87
Generic/Average Restaurant,Marble cake,80,354.11,6.3,46.88,16.27
Generic/Average Restaurant,Chocolate cake,80,335.61,6.01,45.14,15.18
Generic/Average Restaurant,Orange cake,80,357.61,6.1,48.28,16.21
Generic/Average Restaurant,Fruit Loaf ,120,324.19,5.36,46.49,13.31
Generic/Average Restaurant,Banana cake (Kele ka cake),80,389.51,5.77,40.0,23.31
Generic/Average Restaurant,Chocolate chiffon cake,80,311.71,5.76,37.87,15.8
Generic/Average Restaurant,Christmas cake,80,372.95,5.49,48.29,16.88
Generic/Average Restaurant,Strawberry and vanilla cake with butter icing,80,370.54,3.89,44.25,20.39
Generic/Average Restaurant,Eggless cake,300,318.08,8.12,46.14,11.75
Generic/Average Restaurant,Swiss roll,50,251.87,7.3,48.34,3.77
Generic/Average Restaurant,Pineapple pastry ,120,208.21,6.06,29.04,7.87
Generic/Average Restaurant,Black forest pastry,120,233.55,6.09,34.48,8.46
Generic/Average Restaurant,Coconut finger,120,274.86,7.09,42.56,8.86
Generic/Average Restaurant,Pineapple cake ,80,195.57,5.01,23.51,9.34
Generic/Average Restaurant,Chocolate walnut cookies (Chocolate aur akhrot ke cookies),120,424.8,6.56,47.1,23.62
Generic/Average Restaurant,Chocolate chip cookies,120,425.29,5.79,57.98,19.38
Generic/Average Restaurant,Sweet plain biscuit,80,380.76,5.86,50.29,17.67
Generic/Average Restaurant,Chocolate biscuit,120,379.76,5.88,51.56,17.09
Generic/Average Restaurant,Coconut biscuit (Nariyal ke biscuit),120,434.98,5.78,42.9,27.16
Generic/Average Restaurant,Sweet and salty biscuit (Meethay aur namkeen biscuit),80,407.96,6.15,45.09,22.39
Generic/Average Restaurant,Peanut biscuit,120,401.05,8.45,46.72,20.41
Generic/Average Restaurant,Pin wheel biscuit,120,404.6,5.4,54.56,18.66
Generic/Average Restaurant,Saffron biscuit (Kesar biscuit),120,458.61,6.05,59.7,22.01
Generic/Average Restaurant,Masala biscuit,40,393.64,6.06,45.18,20.75
Generic/Average Restaurant,Ice box cookies,120,374.24,5.7,56.09,14.44
Generic/Average Restaurant,Ginger bread man,30,365.0,6.61,60.26,11.01
Generic/Average Restaurant,Danish cookies,120,475.33,5.33,58.0,24.92
Generic/Average Restaurant,Short bread cookies,30,443.09,6.03,64.82,17.98
Generic/Average Restaurant,Coffee biscuit,30,416.57,6.9,46.55,23.0
Generic/Average Restaurant,Melting moments,120,437.91,5.71,55.84,21.78
Generic/Average Restaurant,Ginger biscuit (Adarak ke biscuit),120,417.91,5.98,58.44,18.31
Generic/Average Restaurant,Soyabean muthias,120,839.33,2.46,3.7,90.45
Generic/Average Restaurant,Soyabean tikki,50,698.17,3.53,4.39,74.02
Generic/Average Restaurant,Soyabean namak paras,120,838.46,2.65,4.65,89.83
Generic/Average Restaurant,Peanut burfi (Moongfali ki burfi),120,550.99,9.31,48.14,36.84
Generic/Average Restaurant,Spinach peanut namak paras (Palak moongfali namak paras),120,740.16,1.65,6.62,78.51
Generic/Average Restaurant,Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),80,758.89,2.08,7.63,80.04
Generic/Average Restaurant,Rice moong dal cheela (Chawal aur moong dal ka cheela),150,798.26,2.74,11.13,82.44
Generic/Average Restaurant,Split bengal gram sweet rice (Channa dal sweet rice),150,190.21,4.15,41.07,0.64
Generic/Average Restaurant,Sweet poori (Meethi poori),80,782.75,2.12,14.26,79.63
Generic/Average Restaurant,Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),180,441.08,9.84,60.0,18.41
Generic/Average Restaurant,Spinach burfi (Palak burfi),120,121.17,2.71,12.76,6.81
Generic/Average Restaurant,Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),30,366.59,9.51,62.66,7.93
Generic/Average Restaurant,Sprouted moong daliya ,180,111.56,2.81,14.77,4.71
Generic/Average Restaurant,Sprouted moong poha ,120,192.6,5.59,26.6,6.89
Generic/Average Restaurant,Pearl millet ladoo (Bajra ladoo),120,319.66,9.61,50.98,8.06
Generic/Average Restaurant,Paushtik ladoo,120,485.87,7.65,60.34,24.98
Generic/Average Restaurant,Paushtik roti,30,149.26,7.17,26.59,1.51
Generic/Average Restaurant,Semolina carrot vada (Suji gajar vada),50,699.53,1.56,6.52,74.07
Generic/Average Restaurant,Dhokla,50,216.49,13.45,30.68,5.28
Generic/Average Restaurant,Kashmiri tea (Kehwa),30,24.9,0.17,5.23,0.51
Generic/Average Restaurant,Steeped hot coffee,30,15.91,0.39,3.01,0.33
Generic/Average Restaurant,Hot chocolate,120,90.01,3.43,9.02,4.61
Generic/Average Restaurant,Cold coffee (with cream),30,82.76,1.93,11.98,3.29
Generic/Average Restaurant,Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),30,76.45,2.01,11.15,2.77
Generic/Average Restaurant,Flavoured milkshake,30,66.78,2.06,8.65,2.83
Generic/Average Restaurant,Jal jeera,120,30.24,0.44,6.7,0.26
Generic/Average Restaurant,Gingo,120,48.02,0.14,12.42,0.06
Generic/Average Restaurant,Mintade,120,40.32,0.03,10.59,0.02
Generic/Average Restaurant,Canjee,120,6.61,0.24,0.44,0.42
Generic/Average Restaurant,Cauliflower canjee (Phoolgobhi ki canjee),120,6.9,0.39,0.35,0.42
Generic/Average Restaurant,Potato canjee (Aloo canjee),180,16.26,0.44,2.69,0.39
Generic/Average Restaurant,Vermicelli porridge (Semiya/Seviyan porridge),120,78.4,2.5,10.56,2.98
Generic/Average Restaurant,Semolina upma (Suji/Rava upma),90,147.89,3.3,16.31,7.49
Generic/Average Restaurant,Vermicelli upma (Semiya/Seviyan upma),90,149.11,3.11,16.88,7.45
Generic/Average Restaurant,Rice upma,90,151.27,2.63,17.96,7.46
Generic/Average Restaurant,Bread upma,90,129.51,2.8,12.6,7.75
Generic/Average Restaurant,Vegetable upma,90,146.47,4.73,16.46,6.63
Generic/Average Restaurant,Poha,120,294.53,6.09,35.05,14.14
Generic/Average Restaurant,Vegetable poha,180,180.52,4.89,21.52,8.07
Generic/Average Restaurant,Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),180,154.89,6.97,19.42,5.11
Generic/Average Restaurant,Paneer stuffed cheela/chilla,180,205.19,11.44,19.16,8.89
Generic/Average Restaurant,Indian style egg bhujia (Anda bhujia (Indian style)),300,102.83,6.1,3.76,7.02
Generic/Average Restaurant,French omelette/omlet,120,211.04,10.03,0.41,18.86
Generic/Average Restaurant,Puffy omelette/omlet,120,188.15,8.82,0.08,16.84
Generic/Average Restaurant,Orange omelette/omlet,120,194.66,8.93,1.68,16.84
Generic/Average Restaurant,Cheese and mushroom omelette/omlet,180,205.63,9.69,1.68,17.82
Generic/Average Restaurant,Spanish omelette/omlet,120,157.45,8.25,5.1,11.44
Generic/Average Restaurant,Mixed stock,120,25.19,2.06,0.33,1.71
Generic/Average Restaurant,Meat stock,120,24.48,2.1,0.0,1.78
Generic/Average Restaurant,White stock,120,6.99,0.07,0.4,0.56
Generic/Average Restaurant,Meat consomme (with mutton),300,29.76,14.86,0.51,13.68
Generic/Average Restaurant,Consomme au julienne,120,27.76,12.49,1.49,10.66
Generic/Average Restaurant,Consomme au vermicelli,120,29.94,15.23,1.3,12.98
Generic/Average Restaurant,Green pea soup (Matar ka soup),40,39.81,11.06,3.63,12.9
Generic/Average Restaurant,Spinach soup (Palak ka soup),40,32.59,10.54,3.03,14.26
Generic/Average Restaurant,Mixed vegetable soup,40,35.71,8.22,2.95,11.66
Generic/Average Restaurant,Cheese soup,40,41.13,12.39,1.87,17.07
Generic/Average Restaurant,Mulligatawny soup,40,54.42,11.26,8.24,13.28
Generic/Average Restaurant,Cream of carrot soup,40,59.77,8.27,5.69,12.35
Generic/Average Restaurant,Cream of broccoli soup,40,56.14,8.97,3.72,12.75
Generic/Average Restaurant,Cream of potato soup,40,60.2,8.1,6.14,12.05
Generic/Average Restaurant,Almond soup (Badam ka soup),40,78.65,10.13,3.68,13.8
Generic/Average Restaurant,Cold cucumber cream soup ,40,11.88,0.34,1.76,0.34
Generic/Average Restaurant,Cold tomato soup,40,16.9,0.11,0.59,1.56
Generic/Average Restaurant,Chicken stew,300,127.55,7.19,4.44,8.91
Generic/Average Restaurant,Veg paneer stew,180,145.55,6.98,10.22,8.41
Generic/Average Restaurant,Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),30,191.27,4.37,26.37,7.27
Generic/Average Restaurant,Methi parantha/paratha,30,148.36,4.27,22.19,4.34
Generic/Average Restaurant,Bathua poori,120,598.79,2.35,13.85,59.14
Generic/Average Restaurant,Gram flour poori (Besan poori),120,697.66,2.59,10.93,71.51
Generic/Average Restaurant,Beetroot poori (Chukandar ki poori),120,527.66,1.91,12.29,52.18
Generic/Average Restaurant,Peas poori (Matar ki poori),120,592.83,3.04,14.92,57.69
Generic/Average Restaurant,Peas kachori (Matar kachori),50,584.68,3.21,13.25,57.51
Generic/Average Restaurant,Pizza,300,146.77,6.85,9.94,8.72
Generic/Average Restaurant,Bacon and mushroom pancake,180,157.67,6.82,8.47,10.6
Generic/Average Restaurant,Cheese and tomato pancake,80,147.39,5.15,10.66,9.28
Generic/Average Restaurant,Minced meat pancake (with chicken),300,116.04,12.01,8.18,10.48
Generic/Average Restaurant,Eggplant/Brinjal rice (Vangi bhat),150,184.8,5.28,31.74,3.67
Generic/Average Restaurant,Kashmiri 'tahar',120,98.21,1.95,19.11,1.37
Generic/Average Restaurant,Cumin pulao (Jeera/Zeera pulao),150,135.24,2.47,23.61,3.2
Generic/Average Restaurant,Peas pulao (Matar pulao),150,108.87,3.89,18.42,1.9
Generic/Average Restaurant,Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),150,116.53,3.6,19.72,2.3
